bowler,runs_conceded,balls_bowled,wickets_taken,economy
B Akhilesh Reddy,54,49,0.0,6.612244897959183
B Arora,426,361,14.0,7.0803324099723
B Balala,125,83,1.0,9.036144578313253
B Bhadriraju,40,36,2.0,6.666666666666667
B Biza,104,111,7.0,5.621621621621621
B Dugic,130,81,5.0,9.62962962962963
B Etim,170,202,11.0,5.0495049504950495
B Evans,251,179,16.0,8.41340782122905
B Fernando,297,238,13.0,7.487394957983193
B Freeman,16,13,0.0,7.384615384615385
B Gaanamong,65,68,5.0,5.735294117647059
B George,66,51,1.0,7.764705882352942
B Isaac,61,45,0.0,8.133333333333333
B Ito-Davis,53,63,5.0,5.0476190476190474
B Jerkovic,61,24,1.0,15.25
B Kalki Kumar,13,7,0.0,11.142857142857142
B Karki,11,24,1.0,2.75
B Keganne,59,36,2.0,9.833333333333332
B Kgosiemang,310,233,13.0,7.982832618025752
B Khumalo,342,256,13.0,8.015625
B Kumar,1012,803,39.0,7.561643835616438
B Laughlin,77,49,2.0,9.428571428571429
B Lee,308,259,18.0,7.135135135135135
B Lekau,134,114,2.0,7.052631578947369
B Leo,79,58,3.0,8.172413793103448
B Lewis,75,79,6.0,5.69620253164557
B Maes Loch,54,96,6.0,3.375
B Mahesh,46,47,2.0,5.872340425531915
B Masaba,244,269,12.0,5.4423791821561345
B Mavuta,86,69,2.0,7.478260869565217
B Maximo,37,33,2.0,6.727272727272727
B Mejaro,31,24,1.0,7.75
B Mpedi,66,57,1.0,6.947368421052632
B Murekatete,313,413,21.0,4.547215496368039
B Murtagh,52,71,3.0,4.394366197183099
B Muzarabani,834,679,39.0,7.3696612665684835
B Namuunzul,147,126,1.0,7.0
B Ndipo,27,50,2.0,3.24
B Niaz,69,72,7.0,5.75
B Phelenyane,252,239,8.0,6.326359832635983
B Pondani,115,105,5.0,6.571428571428572
B Regmi,225,170,12.0,7.9411764705882355
B Shanti,20,15,0.0,8.0
B Shetty,142,124,3.0,6.870967741935484
B Shikongo,283,274,19.0,6.197080291970803
B Shotorova,94,76,2.0,7.421052631578948
B Stanlake,421,356,27.0,7.095505617977528
B Taylan,48,53,1.0,5.433962264150944
B Terbish,36,13,0.0,16.615384615384613
B Tlali,37,49,3.0,4.530612244897959
B Wani,64,73,2.0,5.260273972602739
B Ward,352,382,31.0,5.528795811518324
B White,476,349,16.0,8.183381088825215
B Williams,13,6,0.0,13.0
B Yadav,62,41,0.0,9.073170731707318
BA Carse,196,137,11.0,8.583941605839417
BA Pai,329,303,15.0,6.514851485148514
BA Stokes,512,378,17.0,8.126984126984127
BAD Manenti,133,92,2.0,8.673913043478262
BAW Mendis,435,401,27.0,6.508728179551122
BB Sran,14,25,4.0,3.3600000000000003
BC Fortuin,287,230,12.0,7.486956521739129
BCJ Cutting,160,88,4.0,10.909090909090908
BD Glover,163,169,15.0,5.78698224852071
BDH Stevens,80,63,3.0,7.619047619047619
