batter,total_runs,balls_faced,times_out,strike_rate,average,team
A Kourkoulou,3,13,1.0,23.07692307692308,3.0,Greece
A Krishna,7,8,3.0,87.5,2.333333333333333,Singapore
A Kshirsagar,0,1,0.0,0.0,0.0,Czech Republic
A Kuthalingham,37,40,2.0,92.5,18.5,Turks and Caicos Island
A Langham,43,41,3.0,104.8780487804878,14.333333333333334,St Helena
A Lazic,2,2,0.0,100.0,2.0,Serbia
A Letuba,0,3,1.0,0.0,0.0,Botswana
A Levaci,0,1,1.0,0.0,0.0,Fiji
A Limdawala,357,377,19.0,94.6949602122016,18.789473684210527,Malawi
A Lister,455,367,22.0,123.97820163487738,20.681818181818183,Scotland
A Littlejohns,1,5,1.0,20.0,1.0,Isle of Man
A Lumbe,22,35,1.0,62.85714285714285,22.0,Malawi
A Lupascu,2,9,1.0,22.22222222222222,2.0,Romania
A Magdalenic,19,71,11.0,26.76056338028169,1.7272727272727273,Croatia
A Maheshwari,30,42,6.0,71.42857142857143,5.0,Croatia
A Makri,116,171,9.0,67.83625730994152,12.88888888888889,Greece
A Manepalli,2,4,0.0,50.0,2.0,Luxembourg
A Manousis,0,3,1.0,0.0,0.0,Greece
A Mansale,393,315,13.0,124.76190476190476,30.23076923076923,Vanuatu
A Mare,39,73,4.0,53.42465753424658,9.75,Qatar
A Martel,53,51,6.0,103.921568627451,8.833333333333334,Guernsey
A Mazvishaya,6,13,1.0,46.15384615384615,6.0,Zimbabwe
A McAuley,127,149,10.0,85.23489932885906,12.7,Isle of Man
A McKnight,27,32,1.0,84.375,27.0,Turks and Caicos Island
A Mehmood,14,4,0.0,350.0,14.0,Hong Kong
A Mene-Ejegi,57,33,5.0,172.72727272727272,11.4,Serbia
A Merritt,196,178,7.0,110.1123595505618,28.0,Jersey
A Mesarovic,141,117,1.0,120.51282051282053,141.0,Serbia
A Modi,40,58,2.0,68.96551724137932,20.0,Singapore
A Mohamed,81,97,6.0,83.50515463917526,13.5,Tanzania
A Mohammed,39,59,4.0,66.10169491525424,9.75,West Indies
A Mokgotlhe,307,313,18.0,98.08306709265176,17.055555555555557,Botswana
A Mongar,7,14,1.0,50.0,7.0,Bhutan
A Morris,17,39,3.0,43.58974358974359,5.666666666666667,Cayman Islands
A Mossop,21,39,0.0,53.84615384615385,21.0,Jersey
A Motorwala,0,1,1.0,0.0,0.0,Botswana
A Mucyodusenge,0,8,1.0,0.0,0.0,Rwanda
A Mundra,98,81,6.0,120.98765432098766,16.333333333333332,Sweden
A Mustafa,15,13,1.0,115.38461538461536,15.0,Argentina
A Mutreja,116,77,3.0,150.64935064935065,38.66666666666666,Singapore
A Nagarajan,22,20,2.0,110.0,11.0,Qatar
A Nanda,2,11,3.0,18.181818181818183,0.6666666666666666,Luxembourg
A Nao,45,31,2.0,145.16129032258064,22.5,Papua New Guinea
A Nathwani,24,32,0.0,75.0,24.0,Austria
A Natubhai Ahir,149,178,14.0,83.70786516853933,10.642857142857142,Panama
A Ndiraya,104,125,7.0,83.2,14.857142857142858,Zimbabwe
A Ndlovu,5,4,0.0,125.0,5.0,Zimbabwe
A Nehra,6,19,1.0,31.57894736842105,6.0,India
A Nel,0,2,0.0,0.0,0.0,South Africa
A Nimaga,4,5,1.0,80.0,4.0,Mali
A Nookala,6,39,1.0,15.384615384615383,6.0,Austria
A Nortje,16,23,2.0,69.56521739130434,8.0,South Africa
A Obulor,3,7,1.0,42.85714285714285,3.0,Nigeria
A Orfila,0,2,1.0,0.0,0.0,Gibraltar
A Osei,33,61,5.0,54.09836065573771,6.6,Ghana
A Ostergaard,0,8,2.0,0.0,0.0,Denmark
A Otwani,57,51,4.0,111.76470588235294,14.25,Uganda
A Oxley,14,22,1.0,63.63636363636363,14.0,Belize
A Parima,28,35,3.0,80.0,9.333333333333334,Cook Islands
A Patmore,221,250,16.0,88.4,13.8125,Japan
A Paul,5,5,1.0,100.0,5.0,Estonia
A Pavlickova,1,25,1.0,4.0,1.0,Czech Republic
A Perera,157,215,8.0,73.0232558139535,19.625,Canada
A Poulose,9,14,2.0,64.28571428571429,4.5,Oman
A Prashar,114,75,7.0,152.0,16.285714285714285,Hungary
A Prince,2,10,2.0,20.0,1.0,Argentina
A Pusthay,77,80,3.0,96.25,25.666666666666668,Finland
A Rajshekara,85,87,3.0,97.70114942528735,28.33333333333333,Romania
A Rameshan,43,82,3.0,52.4390243902439,14.333333333333334,Malta
A Randhawa,179,216,11.0,82.87037037037037,16.272727272727273,Austria
