batter,total_runs,balls_faced,times_out,strike_rate,average
C Namugenyi,2,3,1.0,66.66666666666666,2.0
C Ostergaard,9,12,0.0,75.0,9.0
C Pavely,9,8,2.0,112.5,4.5
C Pengkumta,99,128,10.0,77.34375,9.9
C Perry,10,17,3.0,58.82352941176471,3.3333333333333335
C Piparo,88,76,2.0,115.78947368421053,44.0
C Pyle,29,32,4.0,90.625,7.25
C Raack,22,19,2.0,115.78947368421053,11.0
C Roberts,251,238,10.0,105.46218487394958,25.1
C Rububagumya,379,460,27.0,82.3913043478261,14.037037037037036
C Rumistrzewicz,7,16,3.0,43.75,2.3333333333333335
C Sakariya,5,10,0.0,50.0,5.0
C Sammut,0,6,2.0,0.0,0.0
C Sanda,1,13,1.0,7.6923076923076925,1.0
C Sewsunker,7,27,2.0,25.925925925925924,3.5
C Shivakumar,25,35,2.0,71.42857142857143,12.5
C Smith,10,13,2.0,76.92307692307693,5.0
C Sosa,11,26,1.0,42.30769230769231,11.0
C Sridev,29,44,3.0,65.9090909090909,9.666666666666666
C Sudarsanan,92,111,6.0,82.88288288288288,15.333333333333334
C Sutthiruang,753,820,46.0,91.82926829268293,16.369565217391305
C Tchale,0,4,1.0,0.0,0.0
C Tear,76,79,5.0,96.20253164556962,15.2
C Tlali,55,78,6.0,70.51282051282051,9.166666666666666
C Tommy,73,81,5.0,90.12345679012346,14.6
C Trott,2,5,1.0,40.0,2.0
C Udekwe,30,35,4.0,85.71428571428571,7.5
C Uwamahoro,70,58,3.0,120.6896551724138,23.333333333333332
C Uwase,194,269,20.0,72.11895910780669,9.7
C Viljoen,39,34,1.0,114.70588235294117,39.0
C Webster,51,38,4.0,134.21052631578948,12.75
C Wickramasinghe,10,9,1.0,111.11111111111111,10.0
C Wijesinghe,2,5,1.0,40.0,2.0
C Wright,66,68,7.0,97.05882352941177,9.428571428571429
C Zavoiu,0,5,1.0,0.0,0.0
C Zhou,52,81,5.0,64.19753086419753,10.4
C Zhuwao,24,27,2.0,88.88888888888889,12.0
C de Grandhomme,268,199,18.0,134.67336683417085,14.88888888888889
C de Lange,39,71,5.0,54.929577464788736,7.8
CA Greloni,2,22,2.0,9.090909090909092,1.0
CA Gurrey,15,16,1.0,93.75,15.0
